# Train        Test        
    0.181144     0.127000 
    0.321916     0.151000 
    0.402660     0.186000 
    0.464101     0.193000 
    0.503766     0.293000 
    0.570739     0.258000 
    0.596163     0.334000 
    0.622764     0.356000 
    0.658781     0.478000 
    0.667491     0.490000 
    0.687265     0.516000 
    0.712335     0.548000 
    0.719280     0.549000 
    0.734816     0.552000 
    0.740113     0.567000 
    0.752707     0.638000 
    0.770833     0.556000 
    0.776130     0.613000 
    0.781662     0.682000 
    0.780956     0.681000 
    0.785075     0.621000 
    0.794962     0.642000 
    0.799317     0.712000 
    0.804732     0.608000 
    0.819680     0.669000 
    0.815089     0.649000 
    0.823564     0.636000 
    0.826860     0.700000 
    0.828390     0.646000 
    0.837806     0.638000 
    0.834040     0.704000 
    0.842514     0.680000 
    0.844633     0.730000 
    0.845104     0.747000 
    0.847928     0.712000 
    0.857933     0.755000 
    0.860640     0.639000 
    0.858051     0.751000 
    0.868173     0.730000 
    0.855226     0.746000 
    0.868173     0.768000 
    0.873117     0.737000 
    0.876648     0.762000 
    0.875471     0.784000 
    0.874058     0.742000 
    0.869350     0.778000 
    0.876766     0.781000 
    0.876883     0.801000 
    0.881827     0.758000 
    0.883828     0.758000 
    0.882768     0.814000 
    0.885005     0.781000 
    0.894774     0.781000 
    0.883475     0.791000 
    0.890066     0.772000 
    0.889477     0.761000 
    0.893715     0.778000 
    0.891949     0.788000 
    0.897363     0.786000 
    0.894068     0.716000 
    0.900306     0.776000 
    0.901248     0.776000 
    0.900071     0.766000 
    0.904308     0.802000 
    0.906780     0.821000 
    0.906780     0.775000 
    0.900188     0.825000 
    0.909605     0.834000 
    0.911841     0.812000 
    0.907486     0.806000 
    0.911135     0.820000 
    0.909369     0.822000 
    0.909958     0.786000 
    0.905485     0.777000 
    0.908545     0.796000 
    0.909840     0.801000 
    0.912900     0.802000 
    0.914313     0.773000 
    0.916549     0.818000 
    0.914901     0.783000 
    0.916549     0.829000 
    0.915019     0.850000 
    0.918668     0.843000 
    0.918903     0.835000 
    0.918903     0.838000 
    0.921846     0.842000 
    0.922905     0.836000 
    0.919962     0.837000 
    0.921728     0.838000 
    0.923964     0.808000 
    0.925259     0.826000 
    0.924670     0.847000 
    0.922552     0.841000 
    0.923847     0.833000 
    0.926318     0.851000 
    0.920786     0.836000 
    0.927731     0.852000 
    0.927848     0.827000 
    0.930438     0.846000 
    0.927495     0.847000 
