# Train        Test        
    2.545082     3.126565 
    1.696528     2.592301 
    1.389346     2.219122 
    1.205769     2.074530 
    1.028050     1.692385 
    0.896700     1.904149 
    0.800214     1.691295 
    0.722365     1.594336 
    0.657266     1.400328 
    0.592188     1.411581 
    0.555548     1.349517 
    0.500766     1.132958 
    0.471668     1.090184 
    0.433315     1.094175 
    0.407827     1.055385 
    0.407140     1.085816 
    0.382274     0.943633 
    0.353825     0.895800 
    0.316270     0.939386 
    0.298597     0.900180 
    0.282661     0.929889 
    0.270310     0.858529 
    0.259340     0.785075 
    0.239857     0.894890 
    0.232560     0.820615 
    0.221224     0.799437 
    0.216607     0.865454 
    0.198804     0.789430 
    0.183736     0.745898 
    0.194562     0.775213 
    0.170813     0.830858 
    0.162450     0.771234 
    0.164212     0.710595 
    0.156941     0.714996 
    0.145230     0.760332 
    0.147749     0.844450 
    0.140026     0.690208 
    0.138968     0.776825 
    0.128485     0.693969 
    0.125248     0.667806 
    0.122005     0.710920 
    0.107067     0.735581 
    0.114831     0.678419 
    0.119126     0.640127 
    0.107295     0.720757 
    0.107935     0.627693 
    0.104124     0.690554 
    0.094735     0.599300 
    0.090666     0.560408 
    0.087193     0.631447 
